apoptotic process,GO:0006915
chorio-allantoic fusion,GO:0060710
visceral serous pericardium development,GO:0061032
aflatoxin catabolic process,GO:0046223
angiotensin-mediated drinking behavior,GO:0003051
operant conditioning,GO:0035106
positive regulation of hormone secretion,GO:0046887
"positive regulation of synaptic transmission, cholinergic",GO:0032224
regulation of uterine smooth muscle contraction,GO:0070472
response to ozone,GO:0010193
sperm ejaculation,GO:0042713
astrocyte activation,GO:0048143
presynapse organization,GO:0099172
adenohypophysis development,GO:0021984
"positive regulation of circadian sleep/wake cycle, non-REM sleep",GO:0046010
regulation of intracellular steroid hormone receptor signaling pathway,GO:0033143
somatotropin secreting cell development,GO:0060133
forebrain astrocyte development,GO:0021897
response to mineralocorticoid,GO:0051385
intramembranous ossification,GO:0001957
macrophage chemotaxis,GO:0048246
ovulation from ovarian follicle,GO:0001542
parturition,GO:0007567
positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,GO:1903378
prostate gland epithelium morphogenesis,GO:0060740
trophoblast cell migration,GO:0061450
dephosphorylation,GO:0016311
epoxide metabolic process,GO:0097176
regulation of cholesterol metabolic process,GO:0090181
stilbene catabolic process,GO:0046272
positive regulation of heart rate by epinephrine-norepinephrine,GO:0001996
positive regulation of the force of heart contraction by epinephrine-norepinephrine,GO:0001997
atrioventricular canal development,GO:0036302
cerebellar cortex formation,GO:0021697
intestinal epithelial cell migration,GO:0061582
microvillus organization,GO:0032528
negative regulation of cell adhesion mediated by integrin,GO:0033629
negative regulation of chondrocyte differentiation,GO:0032331
negative regulation of cortisol secretion,GO:0051463
negative regulation of neutrophil activation,GO:1902564
plasma membrane to endosome transport,GO:0048227
artery smooth muscle contraction,GO:0014824
phospholipase C-activating serotonin receptor signaling pathway,GO:0007208
positive regulation of phosphatidylinositol biosynthetic process,GO:0010513
positive regulation of platelet aggregation,GO:1901731
protein localization to cytoskeleton,GO:0044380
sensitization,GO:0046960
"CD4-positive, alpha-beta T cell costimulation",GO:0035783
cellular response to low-density lipoprotein particle stimulus,GO:0071404
humoral immune response mediated by circulating immunoglobulin,GO:0002455
macrophage fusion,GO:0034238
myoblast fusion involved in skeletal muscle regeneration,GO:0014905
positive regulation of adaptive immune memory response,GO:1905676
positive regulation of inflammatory response to antigenic stimulus,GO:0002863
positive regulation of protein catabolic process in the vacuole,GO:1904352
positive regulation of receptor clustering,GO:1903911
positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,GO:2001190
regulation of macrophage migration,GO:1905521
negative regulation of cytoplasmic translation,GO:2000766
regulation of neuronal action potential,GO:0098908
actin filament bundle organization,GO:0061572
membrane tubulation,GO:0097749
vesicle scission,GO:0099050
vascular endothelial cell proliferation,GO:0101023
sperm-egg recognition,GO:0035036
dendritic transport of messenger ribonucleoprotein complex,GO:0098963
calcium-dependent activation of synaptic vesicle fusion,GO:0099502
"fast, calcium ion-dependent exocytosis of neurotransmitter",GO:0098746
positive regulation of calcium ion-dependent exocytosis of neurotransmitter,GO:1903235
regulation of regulated secretory pathway,GO:1903305
synchronous neurotransmitter secretion,GO:0071911
ESCRT III complex disassembly,GO:1904903
establishment of blood-brain barrier,GO:0060856
late endosomal microautophagy,GO:0061738
late endosome to lysosome transport via multivesicular body sorting pathway,GO:0061764
negative regulation of exosomal secretion,GO:1903542
positive regulation of centriole elongation,GO:1903724
positive regulation of exosomal secretion,GO:1903543
protein depolymerization,GO:0051261
response to lipid,GO:0033993
ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway,GO:0090611
vacuolar transport,GO:0007034
formation of structure involved in a symbiotic process,GO:0044111
positive regulation of nucleocytoplasmic transport,GO:0046824
viral budding,GO:0046755
adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway,GO:0007196
negative regulation of motor neuron apoptotic process,GO:2000672
smooth muscle cell apoptotic process,GO:0034390
negative regulation of coagulation,GO:0050819
glutamate catabolic process,GO:0006538
cellular detoxification of nitrogen compound,GO:0070458
nitrobenzene metabolic process,GO:0018916
negative regulation of dendrite morphogenesis,GO:0050774
toll-like receptor signaling pathway,GO:0002224
import into nucleus,GO:0051170
ovulation cycle,GO:0042698
positive regulation of heart rate involved in baroreceptor response to decreased systemic arterial blood pressure,GO:0001988
positive regulation of protein metabolic process,GO:0051247
regulation of amyloid fibril formation,GO:1905906
regulation of norepinephrine secretion,GO:0014061
"regulation of synaptic transmission, dopaminergic",GO:0032225
sensory processing,GO:0050893
cerebellar cortex development,GO:0021695
negative regulation of skeletal muscle cell differentiation,GO:2001015
colon epithelial cell migration,GO:0061580
glycosylceramide catabolic process,GO:0046477
negative regulation of nitric-oxide synthase activity,GO:0051001
negative regulation of lipoprotein lipid oxidation,GO:0060588
negative regulation of smooth muscle cell-matrix adhesion,GO:2000098
rRNA transport,GO:0051029
ISG15-protein conjugation,GO:0032020
negative regulation of glutamatergic neuron differentiation,GO:0120007
neuron fate determination,GO:0048664
G-quadruplex DNA formation,GO:0071919
memory B cell differentiation,GO:0002319
"negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process",GO:1905403
protein sialylation,GO:1990743
spermatid differentiation,GO:0048515
viral RNA genome packaging,GO:0019074
neurotransmitter receptor transport postsynaptic membrane to endosome,GO:0098968
gastric acid secretion,GO:0001696
gland development,GO:0048732
amyloid precursor protein biosynthetic process,GO:0042983
positive regulation of amyloid precursor protein biosynthetic process,GO:0042986
short-term synaptic potentiation,GO:1990926
caudate nucleus development,GO:0021757
putamen development,GO:0021758
vocal learning,GO:0042297
positive regulation of heart rate by epinephrine,GO:0003065
ventricular cardiac muscle tissue morphogenesis,GO:0055010
vascular associated smooth muscle cell differentiation,GO:0035886
pyridoxal phosphate catabolic process,GO:0032361
"negative regulation of retrograde protein transport, ER to cytosol",GO:1904153
negative regulation of RIG-I signaling pathway,GO:0039536
branch elongation involved in ureteric bud branching,GO:0060681
mesonephric epithelium development,GO:0072163
regulation of endothelial cell chemotaxis to fibroblast growth factor,GO:2000544
regulation of endothelial tube morphogenesis,GO:1901509
cerebellar Purkinje cell-granule cell precursor cell signaling,GO:0021937
G1 to G0 transition involved in cell differentiation,GO:0070315
superior olivary nucleus maturation,GO:0021722
zonula adherens assembly,GO:0045186
exosomal secretion,GO:1990182
regulation of early endosome to recycling endosome transport,GO:1902954
regulation of protein localization to centrosome,GO:1904779
regulation of protein transport,GO:0051223
synaptic vesicle endosomal processing,GO:0099532
protein localization to CENP-A containing chromatin,GO:0061644
transcription-coupled nucleotide-excision repair,GO:0006283
acrosomal vesicle exocytosis,GO:0060478
evoked neurotransmitter secretion,GO:0061670
maintenance of presynaptic active zone structure,GO:0048790
regulation of plasma membrane repair,GO:1905684
regulation of presynaptic dense core granule exocytosis,GO:0099161
synaptic vesicle maturation,GO:0016188
regulation of neuron projection regeneration,GO:0070570
negative regulation of secretion by cell,GO:1903531
DNA biosynthetic process,GO:0071897
ovarian follicle atresia,GO:0001552
positive regulation of complement activation,GO:0045917
RIG-I signaling pathway,GO:0039529
cell cycle phase transition,GO:0044770
negative regulation of monoatomic ion transmembrane transport,GO:0034766
cellular response to prostaglandin D stimulus,GO:0071799
eosinophil degranulation,GO:0043308
regulation of protein targeting to vacuolar membrane,GO:1900483
regulation of extracellular exosome assembly,GO:1903551
Sertoli cell proliferation,GO:0060011
negative regulation of antigen processing and presentation of endogenous peptide antigen via MHC class I,GO:1904283
"negative regulation of CD8-positive, alpha-beta T cell activation",GO:2001186
negative regulation of T cell cytokine production,GO:0002725
positive regulation of peptide hormone secretion,GO:0090277
regulation of iron ion transport,GO:0034756
cornified envelope assembly,GO:1903575
positive regulation of chemotaxis,GO:0050921
positive regulation of eosinophil degranulation,GO:0043311
regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1902041
regulation of immune system process,GO:0002682
RNA polymerase I preinitiation complex assembly,GO:0001188
transcription by RNA polymerase I,GO:0006360
fatty acid primary amide biosynthetic process,GO:0062112
peptide amidation,GO:0001519
cellular response to follicle-stimulating hormone stimulus,GO:0071372
cellular response to thyroxine stimulus,GO:0097069
cysteine metabolic process,GO:0006534
negative regulation of hepatic stellate cell activation,GO:2000490
negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,GO:1901029
response to human chorionic gonadotropin,GO:0044752
animal organ development,GO:0048513
animal organ formation,GO:0048645
digestive system development,GO:0055123
AV node cell to bundle of His cell communication,GO:0086067
AV node cell-bundle of His cell adhesion involved in cell communication,GO:0086072
gamma-delta T cell activation,GO:0046629
cardiolipin acyl-chain remodeling,GO:0035965
phosphatidylethanolamine catabolic process,GO:0046338
platelet activating factor metabolic process,GO:0046469
glycoprotein transport,GO:0034436
ventral spinal cord development,GO:0021517
very-low-density lipoprotein particle clearance,GO:0034447
vesicle cytoskeletal trafficking,GO:0099518
angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure,GO:0001998
angiotensin-mediated vasodilation involved in regulation of systemic arterial blood pressure,GO:0002033
glucose 6-phosphate metabolic process,GO:0051156
NADP biosynthetic process,GO:0006741
pentose biosynthetic process,GO:0019322
"pentose-phosphate shunt, oxidative branch",GO:0009051
dendritic cell differentiation,GO:0097028
forebrain cell migration,GO:0021885
negative regulation of dendritic cell apoptotic process,GO:2000669
negative regulation of lymphocyte activation,GO:0051250
positive regulation of cytokine-mediated signaling pathway,GO:0001961
positive regulation of pinocytosis,GO:0048549
positive regulation of viral life cycle,GO:1903902
secretion by cell,GO:0032940
vagina development,GO:0060068
cAMP catabolic process,GO:0006198
negative regulation of relaxation of cardiac muscle,GO:1901898
neutrophil migration,GO:1990266
regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,GO:1902514
regulation of cell communication by electrical coupling involved in cardiac conduction,GO:1901844
ERBB2-EGFR signaling pathway,GO:0038134
morphogenesis of an epithelial fold,GO:0060571
negative regulation of cardiocyte differentiation,GO:1905208
positive regulation of protein kinase C signaling,GO:0090037
apoptotic process involved in embryonic digit morphogenesis,GO:1902263
arterial endothelial cell differentiation,GO:0060842
atrioventricular node development,GO:0003162
atrioventricular valve morphogenesis,GO:0003181
auditory receptor cell fate commitment,GO:0009912
cardiac chamber formation,GO:0003207
cardiac muscle cell myoblast differentiation,GO:0060379
cardiac muscle tissue morphogenesis,GO:0055008
cardiac right atrium morphogenesis,GO:0003213
cardiac ventricle morphogenesis,GO:0003208
cell differentiation in spinal cord,GO:0021515
cell migration involved in endocardial cushion formation,GO:0003273
cellular response to tumor cell,GO:0071228
compartment pattern specification,GO:0007386
coronary sinus valve morphogenesis,GO:0003182
distal tubule development,GO:0072017
endocardial cell differentiation,GO:0060956
endocardium morphogenesis,GO:0003160
epidermal cell fate specification,GO:0009957
epithelial to mesenchymal transition involved in endocardial cushion formation,GO:0003198
foregut morphogenesis,GO:0007440
glomerular mesangial cell development,GO:0072144
growth involved in heart morphogenesis,GO:0003241
inhibition of neuroepithelial cell differentiation,GO:0002085
mesenchymal cell development,GO:0014031
mitral valve formation,GO:0003192
negative regulation of biomineral tissue development,GO:0070168
negative regulation of cell adhesion molecule production,GO:0060354
negative regulation of endothelial cell chemotaxis,GO:2001027
negative regulation of extracellular matrix constituent secretion,GO:0003332
negative regulation of glial cell proliferation,GO:0060253
negative regulation of ossification,GO:0030279
negative regulation of pro-B cell differentiation,GO:2000974
Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation,GO:0003270
osteoblast fate commitment,GO:0002051
positive regulation of aorta morphogenesis,GO:1903849
positive regulation of apoptotic process involved in morphogenesis,GO:1902339
positive regulation of cardiac epithelial to mesenchymal transition,GO:0062043
positive regulation of ephrin receptor signaling pathway,GO:1901189
positive regulation of keratinocyte differentiation,GO:0045618
positive regulation of transcription of Notch receptor target,GO:0007221
regulation of cell adhesion involved in heart morphogenesis,GO:0061344
regulation of epithelial cell proliferation involved in prostate gland development,GO:0060768
regulation of extracellular matrix assembly,GO:1901201
regulation of inner ear auditory receptor cell differentiation,GO:0045607
regulation of somitogenesis,GO:0014807
secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development,GO:0060528
venous endothelial cell differentiation,GO:0060843
canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation,GO:0044338
cardiac vascular smooth muscle cell differentiation,GO:0060947
cellular response to indole-3-methanol,GO:0071681
cranial ganglion development,GO:0061550
embryonic foregut morphogenesis,GO:0048617
embryonic skeletal limb joint morphogenesis,GO:0036023
endoderm formation,GO:0001706
epicardium-derived cardiac vascular smooth muscle cell differentiation,GO:0060983
epithelial cell differentiation involved in prostate gland development,GO:0060742
establishment of blood-retinal barrier,GO:1990963
fungiform papilla formation,GO:0061198
genitalia morphogenesis,GO:0035112
hair cycle process,GO:0022405
hair follicle placode formation,GO:0060789
lung cell differentiation,GO:0060479
lung induction,GO:0060492
mesenchyme morphogenesis,GO:0072132
midbrain dopaminergic neuron differentiation,GO:1904948
negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,GO:0003340
"negative regulation of mitotic cell cycle, embryonic",GO:0045976
nephron tubule formation,GO:0072079
neural plate development,GO:0001840
oviduct development,GO:0060066
positive regulation of branching involved in lung morphogenesis,GO:0061047
positive regulation of epithelial cell differentiation,GO:0030858
positive regulation of epithelial cell proliferation involved in prostate gland development,GO:0060769
positive regulation of heparan sulfate proteoglycan biosynthetic process,GO:0010909
positive regulation of myoblast proliferation,GO:2000288
positive regulation of skeletal muscle tissue development,GO:0048643
regulation of centriole-centriole cohesion,GO:0030997
regulation of centromeric sister chromatid cohesion,GO:0070602
regulation of epithelial to mesenchymal transition,GO:0010717
regulation of secondary heart field cardioblast proliferation,GO:0003266
regulation of timing of anagen,GO:0051884
renal inner medulla development,GO:0072053
renal outer medulla development,GO:0072054
renal vesicle formation,GO:0072033
smooth muscle cell differentiation,GO:0051145
trachea morphogenesis,GO:0060439
phosphocreatine biosynthetic process,GO:0046314
myeloid leukocyte migration,GO:0097529
negative regulation of mast cell proliferation,GO:0070667
positive regulation of leukocyte apoptotic process,GO:2000108
positive regulation of mast cell apoptotic process,GO:0033027
positive regulation of myeloid cell apoptotic process,GO:0033034
regulation of bone resorption,GO:0045124
regulation of glial cell differentiation,GO:0045685
Schwann cell proliferation,GO:0014010
vascular associated smooth muscle cell migration,GO:1904738
lipid transport across blood-brain barrier,GO:1990379
regulation of prostaglandin biosynthetic process,GO:0031392
positive regulation of nervous system process,GO:0031646
positive regulation of branching morphogenesis of a nerve,GO:1905492
positive regulation of neuron maturation,GO:0014042
regulation of macromolecule metabolic process,GO:0060255
regulation of primary metabolic process,GO:0080090
protein localization to ciliary transition zone,GO:1904491
negative regulation of cell growth involved in cardiac muscle cell development,GO:0061052
positive regulation of adenylate cyclase-activating adrenergic receptor signaling pathway,GO:0071879
positive regulation of protein targeting to mitochondrion,GO:1903955
regulation of mitophagy,GO:1901524
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process",GO:1902633
patched ligand maturation,GO:0007225
S-adenosylmethionine biosynthetic process,GO:0006556
endosome membrane tubulation,GO:0097750
positive regulation of cytoplasmic translational elongation,GO:1900249
transposable element silencing by heterochromatin formation,GO:0141005
anterior visceral endoderm cell migration,GO:1905070
embryonic nail plate morphogenesis,GO:0035880
establishment of bipolar cell polarity involved in cell morphogenesis,GO:0061159
focal adhesion disassembly,GO:0120181
negative regulation of cardiac muscle cell myoblast differentiation,GO:2000691
polarized secretion of basement membrane proteins in epithelium,GO:0061865
primitive streak formation,GO:0090009
renal tubule development,GO:0061326
tear secretion,GO:0070075
tRNA threonylcarbamoyladenosine modification,GO:0002949
intermembrane lipid transfer,GO:0120009
phagosome-lysosome fusion involved in apoptotic cell clearance,GO:0090389
anatomical structure morphogenesis,GO:0009653
mammary gland involution,GO:0060056
cerebellar granular layer development,GO:0021681
cerebellar granule cell precursor tangential migration,GO:0021935
negative regulation of protein localization to microtubule,GO:1902817
intracellular manganese ion homeostasis,GO:0030026
manganese ion export across plasma membrane,GO:0140048
manganese ion homeostasis,GO:0055071
zinc ion import into organelle,GO:0062111
regulation of DNA-templated DNA replication initiation,GO:0030174
regulation of signal transduction by p53 class mediator,GO:1901796
neuronal stem cell division,GO:0036445
protein kinase C deactivation,GO:0042313
sensory perception,GO:0007600
cerebellum morphogenesis,GO:0021587
positive regulation of establishment of T cell polarity,GO:1903905
"positive regulation of Wnt signaling pathway, planar cell polarity pathway",GO:2000096
enucleate erythrocyte development,GO:0048822
inner ear receptor cell development,GO:0060119
vestibular receptor cell development,GO:0060118
N-acylphosphatidylethanolamine metabolic process,GO:0070292
microtubule-based peroxisome localization,GO:0060152
"protein import into peroxisome matrix, receptor recycling",GO:0016562
protein targeting to peroxisome,GO:0006625
protein unfolding,GO:0043335
negative regulation of lymphocyte proliferation,GO:0050672
regulation of protein localization to nucleus,GO:1900180
negative regulation of synapse maturation,GO:2000297
biotin import across plasma membrane,GO:1905135
biotin transport,GO:0015878
iodide transmembrane transport,GO:1904200
pantothenate transmembrane transport,GO:0015887
peptidyl-L-cysteine S-palmitoylation,GO:0018230
positive regulation by host of viral process,GO:0044794
negative regulation of vascular associated smooth muscle cell differentiation,GO:1905064
positive regulation of smooth muscle contraction,GO:0045987
regulation of cell projection assembly,GO:0060491
muscle filament sliding,GO:0030049
cadmium ion transmembrane transport,GO:0070574
detoxification of cadmium ion,GO:0071585
negative regulation of calcium ion import,GO:0090281
negative regulation of zinc ion transmembrane import,GO:0071584
regulation of postsynaptic density protein 95 clustering,GO:1902897
zinc ion transport,GO:0006829
positive regulation of RNA export from nucleus,GO:0046833
regulation of RNA export from nucleus,GO:0046831
necroptotic process,GO:0070266
necroptotic signaling pathway,GO:0097527
negative regulation of necroptotic process,GO:0060546
positive regulation of interleukin-6-mediated signaling pathway,GO:0070105
positive regulation of miRNA processing,GO:1903800
positive regulation of necroptotic process,GO:0060545
ripoptosome assembly,GO:0097343
ripoptosome assembly involved in necroptotic process,GO:1901026
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,GO:0050428
sulfate assimilation,GO:0000103
regulation of type I interferon-mediated signaling pathway,GO:0060338
regulation of type II interferon-mediated signaling pathway,GO:0060334
"mRNA cis splicing, via spliceosome",GO:0045292
negative regulation of heterochromatin formation,GO:0031452
regulation of neurofibrillary tangle assembly,GO:1902996
homologous chromosome pairing at meiosis,GO:0007129
response to gonadotropin-releasing hormone,GO:0097210
axon extension involved in regeneration,GO:0048677
metanephric glomerular basement membrane development,GO:0072274
metanephric podocyte development,GO:0072249
positive regulation of integrin-mediated signaling pathway,GO:2001046
positive regulation of muscle cell differentiation,GO:0051149
regulation of basement membrane organization,GO:0110011
cellular response to lipid,GO:0071396
glucose catabolic process,GO:0006007
positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress,GO:1902220
positive regulation of mitochondrial membrane potential,GO:0010918
positive regulation of type B pancreatic cell development,GO:2000078
symbiont-mediated activation of host apoptosis,GO:0052151
symbiont-mediated suppression of host apoptosis,GO:0033668
apoptotic process involved in outflow tract morphogenesis,GO:0003275
chemokine-mediated signaling pathway,GO:0070098
glomerular epithelium development,GO:0072010
lacrimal gland development,GO:0032808
maintenance of lens transparency,GO:0036438
negative regulation of apoptotic process involved in outflow tract morphogenesis,GO:1902257
paraxial mesoderm formation,GO:0048341
positive regulation of core promoter binding,GO:1904798
positive regulation of hematopoietic stem cell differentiation,GO:1902038
vascular endothelial growth factor signaling pathway,GO:0038084
regulation of glycogen metabolic process,GO:0070873
phosphate ion transport,GO:0006817
dopamine transport,GO:0015872
negative regulation of JUN kinase activity,GO:0043508
negative regulation of myofibroblast differentiation,GO:1904761
ERBB2 signaling pathway,GO:0038128
positive regulation of protein K63-linked ubiquitination,GO:1902523
positive regulation of toll-like receptor 7 signaling pathway,GO:0034157
positive regulation of toll-like receptor 8 signaling pathway,GO:0034161
cellular response to nitrosative stress,GO:0071500
chromosome organization involved in meiotic cell cycle,GO:0070192
establishment of protein-containing complex localization to telomere,GO:0097695
establishment of RNA localization to telomere,GO:0097694
female gamete generation,GO:0007292
"positive regulation of DNA damage response, signal transduction by p53 class mediator",GO:0043517
positive regulation of telomerase catalytic core complex assembly,GO:1904884
negative regulation of cell projection organization,GO:0031345
regulation of BMP signaling pathway,GO:0030510
regulation of transforming growth factor beta receptor signaling pathway,GO:0017015
renal filtration,GO:0097205
response to gonadotropin,GO:0034698
L-phenylalanine metabolic process,GO:0006558
pteridine metabolic process,GO:0019889
tetrahydrobiopterin metabolic process,GO:0046146
lipid export from cell,GO:0140353
positive regulation of organelle organization,GO:0010638
regulation of lipid transport,GO:0032368
calcium ion transport from cytosol to endoplasmic reticulum,GO:1903515
ubiquinone metabolic process,GO:0006743
vitamin E metabolic process,GO:0042360
vitamin K metabolic process,GO:0042373
organelle membrane fusion,GO:0090174
regulation of establishment of endothelial barrier,GO:1903140
regulation of protein localization to adherens junction,GO:1904702
activin receptor signaling pathway,GO:0032924
epicardium morphogenesis,GO:1905223
myofibroblast differentiation,GO:0036446
positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,GO:1905007
positive regulation of mesenchymal stem cell proliferation,GO:1902462
positive regulation of tight junction disassembly,GO:1905075
positive regulation of vasculature development,GO:1904018
response to cholesterol,GO:0070723
SMAD protein signal transduction,GO:0060395
'de novo' AMP biosynthetic process,GO:0044208
'de novo' IMP biosynthetic process,GO:0006189
purine nucleobase biosynthetic process,GO:0009113
glycerophospholipid catabolic process,GO:0046475
platelet activating factor biosynthetic process,GO:0006663
clathrin coat disassembly,GO:0072318
protein localization to cell cortex,GO:0072697
constitutive heterochromatin formation,GO:0140719
cell activation involved in immune response,GO:0002263
COPI coating of Golgi vesicle,GO:0048205
endoplasmic reticulum-Golgi intermediate compartment organization,GO:0097111
Golgi disassembly,GO:0090166
protein localization to endoplasmic reticulum exit site,GO:0070973
protein localization to endoplasmic reticulum tubular network,GO:1903420
sensory perception of sour taste,GO:0050915
osteoblast development,GO:0002076
positive regulation of protein sumoylation,GO:0033235
regulation of skeletal muscle fiber differentiation,GO:1902809
pyramidal neuron migration to cerebral cortex,GO:0021852
dITP catabolic process,GO:0035863
NAD-cap decapping,GO:0110155
negative regulation of rRNA processing,GO:2000233
sno(s)RNA catabolic process,GO:0016077
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),GO:0000388
cellular response to bile acid,GO:1903413
regulation of cortisol biosynthetic process,GO:2000064
regulation of progesterone biosynthetic process,GO:2000182
regulation of TORC1 signaling,GO:1903432
thrombin-activated receptor signaling pathway,GO:0070493
cellular response to salt,GO:1902075
regulation of protein catabolic process,GO:0042176
ribosomal large subunit export from nucleus,GO:0000055
ribosomal small subunit export from nucleus,GO:0000056
negative regulation of lens fiber cell differentiation,GO:1902747
negative regulation of nuclear-transcribed mRNA poly(A) tail shortening,GO:0060212
positive regulation of 3'-UTR-mediated mRNA stabilization,GO:1905870
aggresome assembly,GO:0070842
protein import into peroxisome matrix,GO:0016558
deoxyribonucleoside triphosphate metabolic process,GO:0009200
mitochondrial DNA replication,GO:0006264
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator,GO:1902254
positive regulation of G0 to G1 transition,GO:0070318
establishment of mitotic sister chromatid cohesion,GO:0034087
N-terminal protein amino acid acetylation,GO:0006474
cellular response to morphine,GO:0071315
positive regulation of protein localization to actin cortical patch,GO:1904372
protein localization to actin cytoskeleton,GO:1903119
protein localization to cell periphery,GO:1990778
response to kainic acid,GO:1904373
response to L-phenylalanine derivative,GO:1904386
response to prostaglandin E,GO:0034695
negative regulation of miRNA-mediated gene silencing,GO:0060965
basal dendrite morphogenesis,GO:0150019
negative regulation of transcription initiation-coupled chromatin remodeling,GO:0160217
positive regulation of megakaryocyte differentiation,GO:0045654
regulation of primitive erythrocyte differentiation,GO:0010725
meiotic chromosome separation,GO:0051307
miRNA catabolic process,GO:0010587
membrane bending,GO:0097753
positive regulation of amyloid precursor protein catabolic process,GO:1902993
regulation of amyloid precursor protein catabolic process,GO:1902991
vesicle budding from membrane,GO:0006900
vesicle cargo loading,GO:0035459
cellular response to zinc ion,GO:0071294
atrial septum development,GO:0003283
convergent extension involved in gastrulation,GO:0060027
determination of intestine left/right asymmetry,GO:0071908
determination of liver left/right asymmetry,GO:0071910
determination of pancreatic left/right asymmetry,GO:0035469
determination of stomach left/right asymmetry,GO:0071909
maintenance of animal organ identity,GO:0048496
"regulation of Wnt signaling pathway, planar cell polarity pathway",GO:2000095
positive regulation of macrophage fusion,GO:0034241
positive regulation of monocyte differentiation,GO:0045657
microtubule nucleation by microtubule organizing center,GO:0051418
positive regulation of protein polymerization,GO:0032273
regulation of dendritic cell chemotaxis,GO:2000508
prolactin secretion,GO:0070459
cytoplasm protein quality control by the ubiquitin-proteasome system,GO:0071629
ubiquitin-dependent protein catabolic process via the N-end rule pathway,GO:0071596
regulation of protein kinase A signaling,GO:0010738
regulation of non-canonical Wnt signaling pathway,GO:2000050
regulation of odontogenesis of dentin-containing tooth,GO:0042487
ventral spinal cord interneuron specification,GO:0021521
neurotransmitter-gated ion channel clustering,GO:0072578
regulation of presynaptic membrane organization,GO:1901629
Golgi calcium ion homeostasis,GO:0032468
Golgi calcium ion transport,GO:0032472
manganese ion transport,GO:0006828
trans-Golgi network membrane organization,GO:0098629
coenzyme A catabolic process,GO:0015938
oxalate transport,GO:0019532
sulfate transmembrane transport,GO:1902358
regulation of type B pancreatic cell proliferation,GO:0061469
hypoxia-inducible factor-1alpha signaling pathway,GO:0097411
regulation of acetyl-CoA biosynthetic process from pyruvate,GO:0010510
negative regulation of lymphoid progenitor cell differentiation,GO:1905457
poly(A)+ mRNA export from nucleus,GO:0016973
nucleoside diphosphate catabolic process,GO:0009134
nucleoside triphosphate catabolic process,GO:0009143
negative regulation of cargo loading into COPII-coated vesicle,GO:1901303
negative regulation of cholesterol biosynthetic process,GO:0045541
negative regulation of protein exit from endoplasmic reticulum,GO:0070862
response to muscle activity involved in regulation of muscle adaptation,GO:0014873
mitotic spindle midzone assembly,GO:0051256
positive regulation of attachment of mitotic spindle microtubules to kinetochore,GO:1902425
positive regulation of mitotic cytokinesis,GO:1903490
positive regulation of mitotic sister chromatid separation,GO:1901970
regulation of synaptic plasticity by receptor localization to synapse,GO:1900383
response to amino acid starvation,GO:1990928
ribosome assembly,GO:0042255
ribosomal protein import into nucleus,GO:0006610
positive regulation of peptidyl-serine phosphorylation,GO:0033138
norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure,GO:0001994
regulation of female receptivity,GO:0045924
regulation of systemic arterial blood pressure by vasopressin,GO:0001992
threonyl-tRNA aminoacylation,GO:0006435
apoptotic chromosome condensation,GO:0030263
cellular response to mineralocorticoid stimulus,GO:0071389
negative regulation of cell cycle process,GO:0010948
negative regulation of leukocyte activation,GO:0002695
nuclear fragmentation involved in apoptotic nuclear change,GO:0030264
positive regulation of cardiac vascular smooth muscle cell differentiation,GO:2000724
positive regulation of inositol trisphosphate biosynthetic process,GO:0032962
dipeptide import across plasma membrane,GO:0140206
peptidoglycan transport,GO:0015835
positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0070434
regulation of developmental process,GO:0050793
purine ribonucleoside catabolic process,GO:0046130
foam cell differentiation,GO:0090077
lipid droplet fusion,GO:0160077
negative regulation of mitochondrial membrane permeability involved in apoptotic process,GO:1902109
muscle tissue development,GO:0060537
negative regulation of axon extension involved in regeneration,GO:0048692
positive regulation of transmission of nerve impulse,GO:0051971
inositol trisphosphate metabolic process,GO:0032957
regulation of T cell apoptotic process,GO:0070232
carbamoyl phosphate biosynthetic process,GO:0070409
cellular response to oleic acid,GO:0071400
midgut development,GO:0007494
monoatomic anion homeostasis,GO:0055081
nitric oxide metabolic process,GO:0046209
vesicle-mediated transport to the plasma membrane,GO:0098876
